Word 1, Word 2, Frequency
desperate, resource, 2.0
resource, the, 2.0
army, and, 2.0
he, knew, 2.0
knew, it, 2.0
so, more, 2.0
more, or, 2.0
or, less, 2.0
less, in, 2.0
any, great, 2.0
great, railway, 2.0
railway, staff, 2.0
when, young, 2.0
young, if, 2.0
could, believe, 2.0
believe, it, 2.0
it, sitting, 2.0
sitting, in, 2.0
that, hut,--he, 2.0
hut,--he, scarcely, 2.0
scarcely, could, 2.0
could, a, 2.0
student, of, 2.0
of, natural, 2.0
natural, philosophy, 2.0
philosophy, and, 2.0
had, attended, 2.0
attended, lectures, 2.0
lectures, but, 2.0
run, wild, 2.0
wild, misused, 2.0
misused, his, 2.0
his, opportunities, 2.0
opportunities, gone, 2.0
gone, down, 2.0
and, never, 2.0
never, risen, 2.0
risen, again, 2.0
no, complaint, 2.0
complaint, to, 2.0
offer, about, 2.0
about, that, 2.0
had, made, 2.0
made, his, 2.0
his, bed, 2.0
bed, and, 2.0
he, lay, 2.0
lay, upon, 2.0
was, far, 2.0
far, too, 2.0
too, late, 2.0
late, to, 2.0
make, another, 2.0
All, that, 2.0
have, here, 2.0
here, condensed, 2.0
condensed, he, 2.0
quiet, manner, 2.0
manner, with, 2.0
his, grave, 2.0
grave, dark, 2.0
dark, regards, 2.0
